,name,start_time,end_time,target
157,M2BS26P1,12.2,13.2,1
158,M2BS26P1,13.4,14.4,1
159,M2BS26P1,14.6,15.6,0
160,M2BS26P1,15.8,16.8,0
161,M2BS26P1,17.0,18.0,1
162,M2BS26P1,18.2,19.2,1
163,M2BS26P1,19.4,20.4,0
164,M2BS26P1,20.6,21.6,1
165,M2BS26P1,21.8,22.8,0
166,M2BS26P1,23.0,24.0,0
167,M2BS26P1,24.2,25.2,0
168,M2BS26P1,25.4,26.4,1
169,M2BS26P1,26.6,27.6,0
170,M2BS26P1,27.8,28.8,1
171,M2BS26P1,29.0,30.0,0
172,M2BS26P1,30.2,31.2,0
173,M2BS26P1,31.4,32.4,1
174,M2BS26P1,32.6,33.6,1
175,M2BS26P1,33.8,34.8,0
176,M2BS26P1,35.0,36.0,0
177,M2BS26P1,36.2,37.2,0
178,M2BS26P1,37.4,38.4,0
179,M2BS26P1,38.6,39.6,0
180,M2BS26P1,39.8,40.8,0
181,M2BS26P1,41.0,42.0,0
182,M2BS26P1,42.2,43.2,0
183,M2BS26P1,43.4,44.4,0
184,M2BS26P1,44.6,45.6,0
185,M2BS26P1,45.8,46.8,0
186,M2BS26P1,47.0,48.0,0
187,M2BS26P1,48.2,49.2,0
188,M2BS26P1,49.4,50.4,0
189,M2BS13P8,0.2,1.2,0
190,M2BS13P8,1.4,2.4,0
191,M2BS13P8,2.6,3.6,0
192,M2BS13P8,3.8,4.8,1
193,M2BS13P8,5.0,6.0,0
194,M2BS13P8,6.2,7.2,1
195,M2BS13P8,7.4,8.4,1
196,M2BS13P8,8.6,9.6,0
197,M2BS13P8,9.8,10.8,1
198,M2BS13P8,11.0,12.0,0
199,M2BS13P8,12.2,13.2,1
200,M2BS13P8,13.4,14.4,1
201,M2BS13P8,14.6,15.6,0
202,M2BS13P8,15.8,16.8,0
203,M2BS13P8,17.0,18.0,1
204,M2BS13P8,18.2,19.2,1
205,M2BS13P8,19.4,20.4,0
206,M2BS13P8,20.6,21.6,1
207,M2BS13P8,21.8,22.8,0
208,M2BS13P8,23.0,24.0,0
209,M2BS13P8,24.2,25.2,0
210,M2BS13P8,25.4,26.4,1
211,M2BS13P8,26.6,27.6,0
212,M2BS13P8,27.8,28.8,1
213,M2BS13P8,29.0,30.0,0
214,M2BS13P8,30.2,31.2,0
215,M2BS13P8,31.4,32.4,1
216,M2BS13P8,32.6,33.6,1
217,M2BS13P8,33.8,34.8,0
218,M2BS13P8,35.0,36.0,0
219,M2BS13P8,36.2,37.2,0
220,M2BS13P8,37.4,38.4,0
221,M1BS37P1,0.2,1.2,0
222,M1BS37P1,1.4,2.4,0
223,M1BS37P1,2.6,3.6,0
224,M1BS37P1,3.8,4.8,1
225,M1BS37P1,5.0,6.0,0
226,M1BS37P1,6.2,7.2,1
227,M1BS37P1,7.4,8.4,1
228,M1BS37P1,8.6,9.6,0
229,M1BS37P1,9.8,10.8,1
230,M1BS37P1,11.0,12.0,0
231,M1BS37P1,12.2,13.2,1
232,M1BS37P1,13.4,14.4,1
233,M1BS37P1,14.6,15.6,0
234,M1BS37P1,15.8,16.8,0
235,M1BS37P1,17.0,18.0,1
236,M1BS37P1,18.2,19.2,1
237,M1BS37P1,19.4,20.4,0
238,M1BS37P1,20.6,21.6,1
239,M1BS37P1,21.8,22.8,0
240,M1BS37P1,23.0,24.0,0
241,M1BS37P1,24.2,25.2,0
242,M1BS37P1,25.4,26.4,1
243,M1BS37P1,26.6,27.6,0
244,M1BS37P1,27.8,28.8,1
245,M1BS37P1,29.0,30.0,0
246,M1BS37P1,30.2,31.2,0
247,M1BS37P1,31.4,32.4,1
248,M1BS37P1,32.6,33.6,1
249,M1BS37P1,33.8,34.8,0
250,M1BS37P1,35.0,36.0,0
251,M1BS37P1,36.2,37.2,0
252,M1BS37P1,37.4,38.4,0
253,M1BS37P1,38.6,39.6,0
254,M1BS37P1,39.8,40.8,0
255,M1BS37P1,41.0,42.0,0
256,M1BS37P1,42.2,43.2,0
257,M1BS37P1,43.4,44.4,0
258,F1AS16P3,0.2,1.2,0
259,F1AS16P3,1.4,2.4,0
260,F1AS16P3,2.6,3.6,0
261,F1AS16P3,3.8,4.8,1
262,F1AS16P3,5.0,6.0,0
263,F1AS16P3,6.2,7.2,1
264,F1AS16P3,7.4,8.4,1
265,F1AS16P3,8.6,9.6,0
266,F1AS16P3,9.8,10.8,1
267,F1AS16P3,11.0,12.0,0
268,F1AS16P3,12.2,13.2,1
269,F1AS16P3,13.4,14.4,1
270,F1AS16P3,14.6,15.6,0
271,M2BS06P4,0.2,1.2,0
272,M2BS06P4,1.4,2.4,0
273,M2BS06P4,2.6,3.6,0
274,M2BS06P4,3.8,4.8,1
275,M2BS06P4,5.0,6.0,0
276,M2BS06P4,6.2,7.2,1
277,M2BS06P4,7.4,8.4,1
278,M2BS06P4,8.6,9.6,0
279,M2BS06P4,9.8,10.8,1
280,M2BS06P4,11.0,12.0,0
281,M2BS06P4,12.2,13.2,1
282,M2BS06P4,13.4,14.4,1
283,M2BS06P4,14.6,15.6,0
284,M2BS06P4,15.8,16.8,0
285,M2BS06P4,17.0,18.0,1
286,M2BS06P4,18.2,19.2,1
287,M2BS06P4,19.4,20.4,0
288,M2BS06P4,20.6,21.6,1
289,M2BS06P4,21.8,22.8,0
290,M2BS06P4,23.0,24.0,0
291,M2BS06P4,24.2,25.2,0
292,M2BS06P4,25.4,26.4,1
293,M2BS06P4,26.6,27.6,0
294,M2BS06P4,27.8,28.8,1
295,M2BS06P4,29.0,30.0,0
296,M2BS06P4,30.2,31.2,0
297,M2BS06P4,31.4,32.4,1
298,M2BS06P4,32.6,33.6,1
299,M2BS06P4,33.8,34.8,0
300,M2BS06P4,35.0,36.0,0
301,M2BS06P4,36.2,37.2,0
302,M2BS06P4,37.4,38.4,0
303,M2BS06P4,38.6,39.6,0
304,M2BS06P4,39.8,40.8,0
305,M2BS06P4,41.0,42.0,0
306,F2BS15P6,0.2,1.2,0
307,F2BS15P6,1.4,2.4,0
308,F2BS15P6,2.6,3.6,0
309,F2BS15P6,3.8,4.8,1
310,F2BS15P6,5.0,6.0,0
311,F2BS15P6,6.2,7.2,1
312,F2BS15P6,7.4,8.4,1
313,F2BS15P6,8.6,9.6,0
314,F2BS15P6,9.8,10.8,1
315,F2BS15P6,11.0,12.0,0
316,F2BS15P6,12.2,13.2,1
317,F2BS15P6,13.4,14.4,1
318,F2BS15P6,14.6,15.6,0
319,F2BS15P6,15.8,16.8,0
320,F2BS15P6,17.0,18.0,1
321,F2BS15P6,18.2,19.2,1
322,F2BS15P6,19.4,20.4,0
323,F2BS15P6,20.6,21.6,1
324,F2BS15P6,21.8,22.8,0
325,F2BS15P6,23.0,24.0,0
326,F2BS15P6,24.2,25.2,0
327,F2BS15P6,25.4,26.4,1
328,M2BS20P7,0.2,1.2,0
329,M2BS20P7,1.4,2.4,0
330,M2BS20P7,2.6,3.6,0
331,M2BS20P7,3.8,4.8,1
332,M2BS20P7,5.0,6.0,0
333,M2BS20P7,6.2,7.2,1
334,M2BS20P7,7.4,8.4,1
335,M2BS20P7,8.6,9.6,0
336,M2BS20P7,9.8,10.8,1
337,M2BS20P7,11.0,12.0,0
338,M2BS20P7,12.2,13.2,1
339,M2BS20P7,13.4,14.4,1
340,M2BS20PA,0.2,1.2,0
341,M2BS20PA,1.4,2.4,0
342,M2BS20PA,2.6,3.6,0
343,M2BS20PA,3.8,4.8,1
344,M2BS20PA,5.0,6.0,0
345,M2BS20PA,6.2,7.2,1
346,M2BS20PA,7.4,8.4,1
347,M1BS17P4,0.2,1.2,0
348,M1BS17P4,1.4,2.4,0
349,M1BS17P4,2.6,3.6,0
350,M1BS17P4,3.8,4.8,1
351,M1BS17P4,5.0,6.0,0
352,M1BS17P4,6.2,7.2,1
353,M1BS17P4,7.4,8.4,1
354,M1BS17P4,8.6,9.6,0
355,M1BS17P4,9.8,10.8,1
356,F2BTROP5,0.2,1.2,0
357,F2BTROP5,1.4,2.4,0
358,F2BTROP5,2.6,3.6,0
359,F2BTROP5,3.8,4.8,1
360,F2BTROP5,5.0,6.0,0
361,F2BTROP5,6.2,7.2,1
362,F2BTROP5,7.4,8.4,1
363,F2BTROP5,8.6,9.6,0
364,F2BTROP5,9.8,10.8,1
365,F2BTROP5,11.0,12.0,0
366,F2BTROP5,12.2,13.2,1
367,F2BTROP5,13.4,14.4,1
368,F2BTROP5,14.6,15.6,0
369,F2BTROP5,15.8,16.8,0
370,F2BTROP5,17.0,18.0,1
371,F2BTROP5,18.2,19.2,1
372,F2BTROP5,19.4,20.4,0
373,F2BS08P3,0.2,1.2,0
374,F2BS08P3,1.4,2.4,0
375,F2BS08P3,2.6,3.6,0
376,F2BS08P3,3.8,4.8,1
377,F2BS08P3,5.0,6.0,0
378,F2BS08P3,6.2,7.2,1
379,F2BS08P3,7.4,8.4,1
380,F2BS08P3,8.6,9.6,0
381,F2BS08P3,9.8,10.8,1
382,F2BS08P3,11.0,12.0,0
383,F2BS08P3,12.2,13.2,1
384,F2BS08P3,13.4,14.4,1
385,F2BS08P3,14.6,15.6,0
386,F2BS08P3,15.8,16.8,0
387,F2BS08P3,17.0,18.0,1
388,F2BS08P3,18.2,19.2,1
389,F2BS08P3,19.4,20.4,0
390,F2BS08P3,20.6,21.6,1
391,F2BS08P3,21.8,22.8,0
392,F2BJRLP1,0.2,1.2,0
393,F2BJRLP1,1.4,2.4,0
394,F2BJRLP1,2.6,3.6,0
395,F2BJRLP1,3.8,4.8,1
396,F2BJRLP1,5.0,6.0,0
397,F2BJRLP1,6.2,7.2,1
398,F2BJRLP1,7.4,8.4,1
399,F2BJRLP1,8.6,9.6,0
400,F2BJRLP1,9.8,10.8,1
401,F2BJRLP1,11.0,12.0,0
402,F2BJRLP1,12.2,13.2,1
403,F2BJRLP1,13.4,14.4,1
404,F2BJRLP1,14.6,15.6,0
405,F2BJRLP1,15.8,16.8,0
406,F2BJRLP1,17.0,18.0,1
407,F2BJRLP1,18.2,19.2,1
408,F2BJRLP1,19.4,20.4,0
409,F2BJRLP1,20.6,21.6,1
410,F2BJRLP1,21.8,22.8,0
411,F2BJRLP1,23.0,24.0,0
412,F2BJRLP1,24.2,25.2,0
413,F1AS36P6,0.2,1.2,0
414,F1AS36P6,1.4,2.4,0
415,F1AS36P6,2.6,3.6,0
416,F1AS36P6,3.8,4.8,1
417,F1AS36P6,5.0,6.0,0
418,F1AS36P6,6.2,7.2,1
419,F1AS36P6,7.4,8.4,1
420,F1AS36P6,8.6,9.6,0
421,F1AS36P6,9.8,10.8,1
422,F1AS36P6,11.0,12.0,0
423,F1AS36P6,12.2,13.2,1
424,F1AS36P6,13.4,14.4,1
425,F1AS36P6,14.6,15.6,0
426,F1AS36P6,15.8,16.8,0
427,F1AS36P6,17.0,18.0,1
428,F1AS36P6,18.2,19.2,1
429,F1AS36P6,19.4,20.4,0
430,F1AS36P6,20.6,21.6,1
431,F1AS36P6,21.8,22.8,0
432,M2BS04P6,0.2,1.2,0
433,M2BS04P6,1.4,2.4,0
434,M2BS04P6,2.6,3.6,0
435,M2BS04P6,3.8,4.8,1
436,M2BS04P6,5.0,6.0,0
437,M2BS04P6,6.2,7.2,1
438,M2BS04P6,7.4,8.4,1
439,M2BS04P6,8.6,9.6,0
440,M2BS04P6,9.8,10.8,1
441,M2BS04P6,11.0,12.0,0
442,M2BS04P6,12.2,13.2,1
443,M2BS04P6,13.4,14.4,1
444,M2BS04P6,14.6,15.6,0
445,M2BS04P6,15.8,16.8,0
446,M2BS04P6,17.0,18.0,1
447,M2BS04P6,18.2,19.2,1
448,M2BS04P6,19.4,20.4,0
449,M2BS04P6,20.6,21.6,1
450,M2BS04P6,21.8,22.8,0
451,M2BS04P6,23.0,24.0,0
452,M2BS04P6,24.2,25.2,0
453,M2BS04P6,25.4,26.4,1
454,M2BS04P6,26.6,27.6,0
455,M2BS04P6,27.8,28.8,1
456,M2BS04P6,29.0,30.0,0
457,M2BS04P6,30.2,31.2,0
458,M2BS04P6,31.4,32.4,1
459,M2BS04P6,32.6,33.6,1
460,M2BS04P6,33.8,34.8,0
461,M2BS04P6,35.0,36.0,0
462,M2BS04P6,36.2,37.2,0
463,M2BS04P6,37.4,38.4,0
464,M2BS04P6,38.6,39.6,0
465,M2BS04P6,39.8,40.8,0
466,M2BS04P6,41.0,42.0,0
467,M2BS04P6,42.2,43.2,0
468,M2BS04P6,43.4,44.4,0
469,M2BS04P6,44.6,45.6,0
470,M2BS04P6,45.8,46.8,0
471,M2BS04P6,47.0,48.0,0
472,M2BS04P6,48.2,49.2,0
473,M2BS04P6,49.4,50.4,0
474,M2BS04P6,50.6,51.6,0
475,M2BS04P6,51.8,52.8,0
476,M2BS04P6,53.0,54.0,0
477,M2BS04P6,54.2,55.2,0
478,M2BS04P6,55.4,56.4,0
479,M2BS04P6,56.6,57.6,0
480,M2BS04P6,57.8,58.8,0
481,M2BS04P6,59.0,60.0,0
482,M2BS04P6,60.2,61.2,0
483,M2BS04P6,61.4,62.4,0
484,M2BS04P6,62.6,63.6,0
485,M2BS04P6,63.8,64.8,0
486,M2BS04P6,65.0,66.0,0
487,M2BS04P6,66.2,67.2,0
488,M2BS04P6,67.4,68.4,0
489,M2BS04P6,68.6,69.6,0
490,M2BS04P6,69.8,70.8,0
491,M2BS04P6,71.0,72.0,0
492,M2BS04P6,72.2,73.2,0
493,M2BS04P6,73.4,74.4,0
494,M2BS04P6,74.6,75.6,0
495,M2BS22P5,0.2,1.2,0
496,M2BS22P5,1.4,2.4,0
497,M2BS22P5,2.6,3.6,0
498,M2BS22P5,3.8,4.8,1
499,M2BS22P5,5.0,6.0,0
500,M2BS22P5,6.2,7.2,1
501,M2BS22P5,7.4,8.4,1
502,M2BS22P5,8.6,9.6,0
503,M2BS22P5,9.8,10.8,1
504,M2BS22P5,11.0,12.0,0
505,M2BS22P5,12.2,13.2,1
506,M2BS22P5,13.4,14.4,1
507,M2BS22P5,14.6,15.6,0
508,F2BS17P4,0.2,1.2,0
509,F2BS17P4,1.4,2.4,0
510,F2BS17P4,2.6,3.6,0
511,F2BS17P4,3.8,4.8,1
512,F2BS17P4,5.0,6.0,0
513,F2BS17P4,6.2,7.2,1
514,F2BS17P4,7.4,8.4,1
515,F2BS17P4,8.6,9.6,0
516,F2BS17P4,9.8,10.8,1
517,F2BS17P4,11.0,12.0,0
518,F2BS17P4,12.2,13.2,1
519,F2BS17P4,13.4,14.4,1
520,F2BS17P4,14.6,15.6,0
521,F2BS17P4,15.8,16.8,0
522,F2BS17P4,17.0,18.0,1
523,F2BS17P4,18.2,19.2,1
524,F2BS17P4,19.4,20.4,0
525,F2BS17P4,20.6,21.6,1
526,F2BS17P4,21.8,22.8,0
527,F2BS17P4,23.0,24.0,0
528,F2BS17P4,24.2,25.2,0
529,F2BS17P4,25.4,26.4,1
530,F2BS17P4,26.6,27.6,0
531,F2BS17P4,27.8,28.8,1
532,F2BS17P4,29.0,30.0,0
533,F2BS17P4,30.2,31.2,0
534,F2BS17P4,31.4,32.4,1
535,F2BS17P4,32.6,33.6,1
536,F2BS17P4,33.8,34.8,0
537,F2BS17P4,35.0,36.0,0
538,F2BS17P4,36.2,37.2,0
539,F2BS17P4,37.4,38.4,0
540,F2BS17P4,38.6,39.6,0
541,F2BS17P4,39.8,40.8,0
542,M1BS33P5,0.2,1.2,0
543,M1BS33P5,1.4,2.4,0
544,M1BS33P5,2.6,3.6,0
545,M1BS33P5,3.8,4.8,1
546,M1BS33P5,5.0,6.0,0
547,M1BS33P5,6.2,7.2,1
548,M1BS33P5,7.4,8.4,1
549,M1BS33P5,8.6,9.6,0
550,M1BS33P5,9.8,10.8,1
551,M1BS33P5,11.0,12.0,0
552,M1BS33P5,12.2,13.2,1
553,M1BS33P5,13.4,14.4,1
554,M1BS33P5,14.6,15.6,0
555,M1BS33P5,15.8,16.8,0
556,F1AS29P1,0.2,1.2,0
557,M2BS19P3,0.2,1.2,0
558,M2BS19P3,1.4,2.4,0
559,M2BS19P3,2.6,3.6,0
560,M2BS19P3,3.8,4.8,1
561,M2BS19P3,5.0,6.0,0
562,M2BS19P3,6.2,7.2,1
563,M2BS19P3,7.4,8.4,1
564,M2BS19P3,8.6,9.6,0
565,M2BS19P3,9.8,10.8,1
566,M2BS19P3,11.0,12.0,0
567,M2BS19P3,12.2,13.2,1
568,M2BS19P3,13.4,14.4,1
569,M2BS19P3,14.6,15.6,0
570,M2BS19P3,15.8,16.8,0
571,M2BS19P3,17.0,18.0,1
572,M2BS19P3,18.2,19.2,1
573,M2BS19P3,19.4,20.4,0
574,M2BS19P3,20.6,21.6,1
575,M2BS19P3,21.8,22.8,0
576,M2BS19P3,23.0,24.0,0
577,M2BS19P3,24.2,25.2,0
578,M2BS19P3,25.4,26.4,1
579,M2BS19P3,26.6,27.6,0
580,M2BS19P3,27.8,28.8,1
581,M2BS19P3,29.0,30.0,0
582,M2BS19P3,30.2,31.2,0
583,M2BS19P3,31.4,32.4,1
584,M2BS19P3,32.6,33.6,1
585,M2BS19P3,33.8,34.8,0
586,M2BS19P3,35.0,36.0,0
587,M2BS19P3,36.2,37.2,0
588,M2BS19P3,37.4,38.4,0
589,M2BS19P3,38.6,39.6,0
590,M2BS19P3,39.8,40.8,0
591,M2BS19P3,41.0,42.0,0
592,M1BJRLP1,0.2,1.2,0
593,M1BJRLP1,1.4,2.4,0
594,M1BJRLP1,2.6,3.6,0
595,M1BJRLP1,3.8,4.8,1
596,M1BJRLP1,5.0,6.0,0
597,M1BJRLP1,6.2,7.2,1
598,M1BJRLP1,7.4,8.4,1
599,M1BJRLP1,8.6,9.6,0
600,M1BJRLP1,9.8,10.8,1
601,M1BJRLP1,11.0,12.0,0
602,M1BJRLP1,12.2,13.2,1
603,M1BJRLP1,13.4,14.4,1
604,M1BJRLP1,14.6,15.6,0
605,M1BJRLP1,15.8,16.8,0
606,M1BJRLP1,17.0,18.0,1
607,M1BJRLP1,18.2,19.2,1
608,M1BJRLP1,19.4,20.4,0
609,M1BJRLP1,20.6,21.6,1
610,M1BJRLP1,21.8,22.8,0
611,M1BJRLP1,23.0,24.0,0
612,M1BJRLP1,24.2,25.2,0
613,F1AS34P4,0.2,1.2,0
614,F1AS34P4,1.4,2.4,0
615,F1AS34P4,2.6,3.6,0
616,F1AS34P4,3.8,4.8,1
617,F1AS34P4,5.0,6.0,0
618,F1AS34P4,6.2,7.2,1
619,M1BS08P3,0.2,1.2,0
620,M1BS08P3,1.4,2.4,0
621,M1BS08P3,2.6,3.6,0
622,M1BS08P3,3.8,4.8,1
623,M1BS08P3,5.0,6.0,0
624,M1BS08P3,6.2,7.2,1
625,M1BS08P3,7.4,8.4,1
626,M1BS08P3,8.6,9.6,0
627,M1BS08P3,9.8,10.8,1
628,M1BS08P3,11.0,12.0,0
629,M1BS08P3,12.2,13.2,1
630,M1BS08P3,13.4,14.4,1
631,M1BS08P3,14.6,15.6,0
632,M1BS08P3,15.8,16.8,0
633,M1BS08P2,0.2,1.2,0
634,M1BS08P2,1.4,2.4,0
635,M1BS08P2,2.6,3.6,0
636,M1BS08P2,3.8,4.8,1
637,M1BS08P2,5.0,6.0,0
638,M1BS08P2,6.2,7.2,1
639,M1BS08P2,7.4,8.4,1
640,M1BS08P2,8.6,9.6,0
641,M1BS08P2,9.8,10.8,1
642,M1BS08P2,11.0,12.0,0
643,F1AS34P5,0.2,1.2,0
644,F1AS34P5,1.4,2.4,0
645,F1AS34P5,2.6,3.6,0
646,F1AS34P5,3.8,4.8,1
647,F1AS34P5,5.0,6.0,0
648,F1AS34P5,6.2,7.2,1
649,F1AS34P5,7.4,8.4,1
650,F1AS34P5,8.6,9.6,0
651,F1AS34P5,9.8,10.8,1
652,F1AS34P5,11.0,12.0,0
653,F1AS34P5,12.2,13.2,1
654,F1AS34P5,13.4,14.4,1
655,F1AS34P5,14.6,15.6,0
656,F1AS34P5,15.8,16.8,0
657,F1AS34P5,17.0,18.0,1
658,F1AS34P5,18.2,19.2,1
659,F1AS34P5,19.4,20.4,0
660,F1AS12P6,0.2,1.2,0
661,F1AS12P6,1.4,2.4,0
662,F1AS12P6,2.6,3.6,0
663,F1AS12P6,3.8,4.8,1
664,F1AS12P6,5.0,6.0,0
665,F1AS12P6,6.2,7.2,1
666,F1AS12P6,7.4,8.4,1
667,F1AS12P6,8.6,9.6,0
668,F1AS12P6,9.8,10.8,1
669,F1AS12P6,11.0,12.0,0
670,F1AS12P6,12.2,13.2,1
671,F1AS12P6,13.4,14.4,1
672,F1AS12P6,14.6,15.6,0
673,F1AS12P6,15.8,16.8,0
674,M2BS19P2,0.2,1.2,0
675,M2BS19P2,1.4,2.4,0
676,M2BS19P2,2.6,3.6,0
677,M2BS19P2,3.8,4.8,1
678,M2BS19P2,5.0,6.0,0
679,M2BS19P2,6.2,7.2,1
680,M2BS19P2,7.4,8.4,1
681,M2BS19P2,8.6,9.6,0
682,M2BS19P2,9.8,10.8,1
683,M2BS19P2,11.0,12.0,0
684,M2BS19P2,12.2,13.2,1
685,M2BS19P2,13.4,14.4,1
686,M2BS19P2,14.6,15.6,0
687,M2BS19P2,15.8,16.8,0
688,M2BS19P2,17.0,18.0,1
689,M2BS19P2,18.2,19.2,1
690,M2BS04PA,0.2,1.2,0
691,M2BS04PA,1.4,2.4,0
692,M2BS04PA,2.6,3.6,0
693,M2BS04PA,3.8,4.8,1
694,M2BS04PA,5.0,6.0,0
